А;а, Александр, Анна, Андрей
В;вэ, в, Владимир, Вера, Василий
Е;е, Евгений, Елена, Егор
К;ка, кэ, к, Константин, Ксения, Кирилл
М;эм, мэ, м, Михаил, Мария, Максим
Н;эн, нэ, н, Николай, Наталья, Никита
О;о, Олег, Ольга, Остап
Р;эр, рэ, р, Роман, Роза, Руслан
С;эс, сэ, с, Сергей, Светлана, Станислав
Т;тэ, т, Тимур, Татьяна, Тарас
У;у, Устин, Ульяна
Х;ха, хэ, х, Харитон, Харлампия, Христофор
АА;два а, две а, дубль а, дуплет а, два Александра , две Анны
ВВ;два вэ, две вэ, дубль вэ, дуплет вэ, два в, две в, дубль в, дуплет в, два Владимира , две Веры
ЕЕ;два е, две е, дубль е, дуплет е, два Евгения , две Елены
КК;два ка, две ка, дубль ка, дуплет ка, два кэ, две кэ, дубль кэ, дуплет кэ, два к, две к, дубль к, дуплет к, два Константина , две Ксении
ММ;два эм, две эм, дубль эм, дуплет эм, два мэ, две мэ, дубль мэ, дуплет мэ, два м, две м, дубль м, дуплет м, два Михаила , две Марии
НН;два эн, две эн, дубль эн, дуплет эн, два нэ, две нэ, дубль нэ, дуплет нэ, два н, две н, дубль н, дуплет н, два Николая , две Натальи
ОО;два о, две о, дубль о, дуплет о, два Олега , две Ольгы
РР;два эр, две эр, дубль эр, дуплет эр, два рэ, две рэ, дубль рэ, дуплет рэ, два р, две р, дубль р, дуплет р, два Романа , две Розы
СС;два эс, две эс, дубль эс, дуплет эс, два сэ, две сэ, дубль сэ, дуплет сэ, два с, две с, дубль с, дуплет с, два Сергея , две Светланы
ТТ;два тэ, две тэ, дубль тэ, дуплет тэ, два т, две т, дубль т, дуплет т, два Тимура , две Татьяны
УУ;два у, две у, дубль у, дуплет у, два Устина , две Ульяны
ХХ;два ха, две ха, дубль ха, дуплет ха, два хэ, две хэ, дубль хэ, дуплет хэ, два х, две х, дубль х, дуплет х, два Харитона , две Харлампии
A;эй, а, латинская а, английская а
B;би, бэ, вэ, в, латинская бэ, английская бэ
C;си, эс, сэ, с, цэ, латинская цэ, английская цэ
D;ди, дэ, д, латинская дэ, английская дэ
E;и, е, латинская е, английская е
F;эф, фэ, латинская эф, английская эф
G;джи, гэ, латинская гэ, английская гэ
H;эйч, аш, хэ, латинская хэ, английская хэ
I;ай, и с точкой, и, латинская и, английская и
J;джей, джи
K;кей, ка, кэ, к
L;эл, л, латинская эл, английская эл
M;эм, мэ, м
N;эн, нэ, н, латинская эн, английская эн
O;оу, о
P;пи, пэ, эр, рэ, р, латинская пэ, английская пэ
Q;кью, ку
R;эр, рэ, р, латинская эр, английская эр
S;эс, сэ, с, эс как доллар, латинская эс, английская эс
T;ти, тэ, т
U;ю, у, латинская у, английская у
V;ви, вэ, латинская вэ, английская вэ
W;дабл ю, дабл вэ, дубль вэ
X;экс, икс, ха, хэ, х
Y;уай, игрек
Z;зед, зет, зэ, латинская зэ, английская зэ
AA;два эй, две эй, дубль эй, дуплет эй, два а, две а, дубль а, дуплет а, два латинских а, две латинские а, дубль латинских а, дуплет латинских а, два английских а, две английские а, дубль английских а, дуплет английских а
BB;два би, две би, дубль би, дуплет би, два бэ, две бэ, дубль бэ, дуплет бэ, два вэ, две вэ, дубль вэ, дуплет вэ, два в, две в, дубль в, дуплет в, два латинских бэ, две латинские бэ, дубль латинских бэ, дуплет латинских бэ, два английских бэ, две английские бэ, дубль английских бэ, дуплет английских бэ
CC;два си, две си, дубль си, дуплет си, два эс, две эс, дубль эс, дуплет эс, два сэ, две сэ, дубль сэ, дуплет сэ, два с, две с, дубль с, дуплет с, два цэ, две цэ, дубль цэ, дуплет цэ, два латинских цэ, две латинские цэ, дубль латинских цэ, дуплет латинских цэ, два английских цэ, две английские цэ, дубль английских цэ, дуплет английских цэ
DD;два ди, две ди, дубль ди, дуплет ди, два дэ, две дэ, дубль дэ, дуплет дэ, два д, две д, дубль д, дуплет д, два латинских дэ, две латинские дэ, дубль латинских дэ, дуплет латинских дэ, два английских дэ, две английские дэ, дубль английских дэ, дуплет английских дэ
EE;два и, две и, дубль и, дуплет и, два е, две е, дубль е, дуплет е, два латинских е, две латинские е, дубль латинских е, дуплет латинских е, два английских е, две английские е, дубль английских е, дуплет английских е
FF;два эф, две эф, дубль эф, дуплет эф, два фэ, две фэ, дубль фэ, дуплет фэ, два латинских эф, две латинские эф, дубль латинских эф, дуплет латинских эф, два английских эф, две английские эф, дубль английских эф, дуплет английских эф
GG;два джи, две джи, дубль джи, дуплет джи, два гэ, две гэ, дубль гэ, дуплет гэ, два латинских гэ, две латинские гэ, дубль латинских гэ, дуплет латинских гэ, два английских гэ, две английские гэ, дубль английских гэ, дуплет английских гэ
