name;options
А;а
В;вэ, в
Е;е
К;ка, кэ, к
М;эм, мэ, м
Н;эн, нэ, н
О;о
Р;эр, рэ, р
С;эс, сэ, с
Т;тэ, т
У;у
Х;ха, хэ, х
1;один, единица
2;два, двойка
3;три, тройка
4;четыре, четверка
5;пять, пятерка
6;шесть, шестерка
7;семь, семерка
8;восемь, восьмерка
9;девять, девятка
0;ноль, нуль
00;два нуля, два ноля, дубль ноль, дубль нуль, дубль нолей, дубль нулей
11;две единицы, дубль единиц, дубль один
22;две двойки, дубль два, дубль двоек
33;две тройки, дубль три, дубль троек
44;две четверки, дубль четыре, дубль четверок
55;две пятерки, дубль пять, дубль пятерок
66;две шестерки, дубль шесть, дубль шестерок
77;две семерки, дубль семь, дубль семерок
88;две восьмерки, дубль восемь, дубль восьмерок
99;две девятки, дубль девять, дубль девяток
111;три единицы, триплет единиц
222;три двойки, триплет двоек
333;три тройки, триплет троек
444;три четверки, триплет четверок
555;три пятерки, триплет пятерок
666;три шестерки, триплет шестерок
777;три семерки, триплет семерок
888;три восьмерки, триплет восьмерок
999;три девятки, триплет девяток
