А;а, Александр, Анна, Андрей
Е;е, Евгений, Елена, Егор
М;эм, мэ, м, Михаил, Мария, Максим
ММ;два эм, две эм, дубль эм, дуплет эм, два мэ, две мэ, дубль мэ, дуплет мэ, два м, две м, дубль м, дуплет м, два Михаила , две Марии
С;эс, сэ, с, Сергей, Светлана, Станислав
Х;ха, хэ, х, Харитон, Харлампия, Христофор
00;два нуля, два ноля, дубль нуль, дубль ноль, дуплет нулей, дуплет нолей
2;два, двойка
3;три, тройка
9;девять, девятка
47;сорок семь
99;девяносто девять, две девятки, дубль девять, дуплет девяток
999;девятьсот девяносто девять, три девятки, триплет девяток
199;сто девяносто девять
